name_id,species,name,note
nm_0426,"Pandalus borealis","Northern shrimp","Also called pink shrimp, coldwater prawn. Important commercial species in North Atlantic."
nm_0427,"Mytilus edulis","Blue mussel","Common edible mussel. Forms extensive beds in intertidal zones."
nm_0429,"Cyprinus carpio",Sazan,"Common freshwater fish"
nm_0431,"Oncorhynchus mykiss","Gökkuşağı alabalığı","Turkey is the largest producer of rainbow trout"
nm_0438,"Dentex gibbosus",Trancia,"Refers to fish sold in slices/steaks"
nm_0439,"Cyprinus carpio","ساسان","Ancient Persian word for carp"
nm_0440,"Lithognathus mormyrus","Mırmır","Prefers sandy bottoms, forms large schools"
nm_0441,"Argyrosomus regius","Granyöz","Primary Turkish name for meagre"
nm_0442,"Argyrosomus regius",Halili,"Regional Turkish name"
nm_0443,"Argyrosomus regius",Muskar,"Regional Turkish name"
nm_0444,"Argyrosomus regius","Yağlı Dramos","Regional name meaning fatty dramos"
nm_0445,"Argyrosomus regius",Meagre,"Also called croaker due to drumming sounds"
nm_0446,"Belone belone","İğne balığı","Refers to elongated needle-like shape"
nm_0447,"Belone belone","Deniz çulluğu","Sea snipe - refers to elongated beak-like snout"
nm_0448,"Pagrus pagrus","Kızıl mercan","Also called Fangri mercan regionally"
nm_0450,"Scomber scombrus",Uskumru,"Atlantic mackerel"
nm_0452,"Lophius piscatorius","Fener balığı","Named for bioluminescent lure organ"
nm_0453,"Lophius piscatorius",Monkfish,"Also called Anglerfish"
nm_0454,"Homarus gammarus",Hummeri,"European lobster, a prized delicacy"
nm_0455,"Cancer pagurus",Taskurapu,"Brown crab, named for its rounded shell shape"
nm_0456,"Homarus gammarus",Hummer,"European lobster"
nm_0457,"Cancer pagurus",Krabba,"Brown crab"
nm_0458,"Lichia amia",Leerfish,"Also called Garrick in South Africa. Prized game fish."
nm_0459,"Auxis thazard",Tombik,"Frigate tuna. Often sold as palamut at fish markets. Distinguished by spots (vs lines on palamut), no teeth, and darker meat."
nm_0460,"Melicertus kerathurus",Mazzancolla,"Premium Mediterranean prawn, also called gambero imperiale"
nm_0461,"Loligo vulgaris",Calamaro,"Common squid; the word spread to Arabic as كلماري and Turkish as kalamar"
nm_0462,"Umbrina cirrosa",Ombrina,"Prized table fish, also called corvo di mare (sea raven)"
nm_0463,"Lichia amia",Leccia,"Fast-swimming predator, popular game fish"
nm_0464,"Scorpaena porcus","Scorfano nero","Small scorpionfish with venomous spines; essential for Mediterranean fish soup"
nm_0465,"Conger conger",Grongo,"Large marine eel, used in fish soups"
nm_0466,"Chelidonichthys lastoviza",Capone,"Gurnard with distinctive large head; Greek Καπόνι is borrowed from this"
nm_0467,"Engraulis encrasicolus",Acciuga,"European anchovy; source of Arabic أنشوفة (via Mediterranean trade)"
nm_0468,"Dentex gibbosus","Dentice corazziere","Named for helmet-like bony hump on head; corazziere refers to armored cavalry"
nm_0469,"Umbrina cirrosa","Corbèl","Venetian name for shi drum; the fish makes a drumming sound"
nm_0471,"Sebastes norvegicus","Större kungsfisk","Literally ""larger kingfish"". Also called rödfisk (redfish) or uer."
nm_0472,"Sebastes norvegicus","Golden redfish","Also called rose fish, ocean perch, Norway haddock"
nm_0473,"Sebastes norvegicus",Puna-ahven,"Commercial name variant"
nm_0474,"Lophius piscatorius",Anglerfish,"Also called Monkfish"
nm_0475,"Conger conger","γόγγρος","Source of Latin conger and modern Italian grongo. Attested in Aristotle."
nm_0476,"Oncorhynchus mykiss","Turkish salmon","Not commercially farmed in Turkey. ""Turkish salmon"" marketed in Turkey is actually sea-grown rainbow trout (Oncorhynchus mykiss), not Atlantic salmon (Salmo salar). Turkey is the largest producer of rainbow trout."
nm_0477,"Sparus aurata","Çupra","Historically older form (1876 Ottoman attestation). Dominant colloquial form in İzmir/Aegean coast."
nm_0478,"Sparus aurata","Çıpra","Rare variant. Poorly attested in major references — absent from Nişanyan Sözlük, TDK, FishBase, and Wikidata."
nm_0479,"Sarpa salpa",Sarpa,"Borrowed via Ottoman-era Greek fishing communities. The r-variant (σάρπα) rather than l-variant (σάλπα) entered Turkish."
nm_0480,"Muraena helena","Müren balığı","Literally moray fish. Found along Turkish Mediterranean and Aegean coasts."
